epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
100,4936.49,0.97159,0.60799,0.00763,5e-05,0.75599,0.7638,0.79536,0.62885,0.88238,0.50894,0.01048,4e-05,0.00018325,0.00018325,0.00018325
101,4985.65,0.97171,0.60085,0.00759,5e-05,0.70525,0.79997,0.79492,0.63071,0.88704,0.49871,0.01028,3e-05,0.000175,0.000175,0.000175
102,5034.91,0.9809,0.61291,0.00724,5e-05,0.78829,0.6591,0.78165,0.62353,0.87701,0.51224,0.01036,2e-05,0.00016675,0.00016675,0.00016675
103,5084.69,0.97009,0.60558,0.00757,5e-05,0.82889,0.66387,0.76942,0.61102,0.87512,0.51014,0.01036,3e-05,0.0001585,0.0001585,0.0001585
104,5133.69,0.96645,0.60119,0.00764,4e-05,0.82101,0.68097,0.77344,0.61265,0.88076,0.49432,0.01014,3e-05,0.00015025,0.00015025,0.00015025
105,5182.8,0.98198,0.60433,0.00752,4e-05,0.75865,0.55506,0.73537,0.57588,0.8791,0.5085,0.01004,4e-05,0.000142,0.000142,0.000142
106,5231.88,0.96402,0.59709,0.00765,4e-05,0.73315,0.67554,0.75931,0.59978,0.87801,0.5186,0.01012,3e-05,0.00013375,0.00013375,0.00013375
107,5281.18,0.97799,0.60425,0.00758,5e-05,0.72146,0.78123,0.77966,0.6108,0.87716,0.51061,0.01038,3e-05,0.0001255,0.0001255,0.0001255
108,5330.17,0.95023,0.5892,0.00766,4e-05,0.76574,0.67131,0.75869,0.60465,0.87629,0.51229,0.01033,3e-05,0.00011725,0.00011725,0.00011725
109,5379.25,0.95918,0.59312,0.00788,4e-05,0.71291,0.7767,0.78053,0.62153,0.87545,0.49669,0.01006,3e-05,0.000109,0.000109,0.000109
110,5429.03,0.97645,0.60065,0.00752,4e-05,0.6555,0.76239,0.76229,0.60941,0.87258,0.50366,0.01028,3e-05,0.00010075,0.00010075,0.00010075
111,5475.71,0.91503,0.55538,0.00807,4e-05,0.68579,0.68583,0.75257,0.57896,0.90604,0.62044,0.01025,4e-05,9.25e-05,9.25e-05,9.25e-05
112,5521.91,0.90889,0.54384,0.00802,4e-05,0.73537,0.76207,0.76083,0.57722,0.90564,0.60199,0.0102,4e-05,8.425e-05,8.425e-05,8.425e-05
113,5567.87,0.90207,0.5337,0.00818,4e-05,0.71749,0.76797,0.77066,0.59632,0.90032,0.58537,0.01015,5e-05,7.6e-05,7.6e-05,7.6e-05
114,5614.24,0.90441,0.52781,0.00787,4e-05,0.72839,0.76516,0.76949,0.58946,0.89429,0.57297,0.01019,4e-05,6.775e-05,6.775e-05,6.775e-05
115,5660.6,0.90773,0.5287,0.00803,4e-05,0.75305,0.77141,0.79498,0.62086,0.89537,0.57405,0.01005,4e-05,5.95e-05,5.95e-05,5.95e-05
116,5706.66,0.90272,0.52908,0.00805,4e-05,0.86204,0.63712,0.79217,0.617,0.89528,0.57169,0.01009,4e-05,5.125e-05,5.125e-05,5.125e-05
117,5752.73,0.90155,0.51958,0.00809,4e-05,0.83773,0.66102,0.79331,0.61887,0.89297,0.5585,0.01009,4e-05,4.3e-05,4.3e-05,4.3e-05
118,5798.76,0.90473,0.52241,0.0079,4e-05,0.80865,0.74823,0.81582,0.6296,0.89252,0.56166,0.01008,3e-05,3.475e-05,3.475e-05,3.475e-05
119,5844.9,0.9109,0.53098,0.00803,4e-05,0.86406,0.63086,0.77408,0.61066,0.89449,0.56695,0.01012,4e-05,2.65e-05,2.65e-05,2.65e-05
120,5890.83,0.8949,0.5136,0.00805,4e-05,0.85834,0.63377,0.79632,0.61942,0.89185,0.55941,0.01011,3e-05,1.825e-05,1.825e-05,1.825e-05
