epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,423.895,1.13632,1.12198,1.30609,0.60114,0.53665,0.56916,0.2531,2.21091,1.85221,2.21258,9.25e-05,9.25e-05,9.25e-05
112,427.66,1.06084,1.18353,1.21788,0.63452,0.4881,0.56081,0.24031,2.28633,1.93004,2.31994,8.425e-05,8.425e-05,8.425e-05
113,431.249,1.09277,1.08063,1.23884,0.57847,0.49623,0.55816,0.2294,2.35434,1.98943,2.40745,7.6e-05,7.6e-05,7.6e-05
114,434.904,1.14887,1.08407,1.28844,0.55891,0.49812,0.55396,0.23257,2.35062,1.9741,2.38449,6.775e-05,6.775e-05,6.775e-05
115,438.62,1.09125,1.0229,1.24814,0.63861,0.46429,0.56734,0.22644,2.29025,1.91097,2.34288,5.95e-05,5.95e-05,5.95e-05
116,442.247,1.11974,1.04965,1.28537,0.50816,0.62381,0.56435,0.24369,2.19959,1.89667,2.19742,5.125e-05,5.125e-05,5.125e-05
117,445.819,1.14679,1.15746,1.28252,0.58672,0.48787,0.55459,0.25587,2.15707,1.90162,2.12284,4.3e-05,4.3e-05,4.3e-05
118,449.462,1.12099,1.032,1.28337,0.61852,0.46429,0.57295,0.25485,2.18426,1.94255,2.14781,3.475e-05,3.475e-05,3.475e-05
119,453.1,1.01222,0.9178,1.18024,0.61103,0.46429,0.57572,0.25848,2.18045,1.95157,2.14091,2.65e-05,2.65e-05,2.65e-05
120,456.771,1.06604,0.95138,1.2153,0.48499,0.62364,0.57254,0.25638,2.17418,1.91742,2.13226,1.825e-05,1.825e-05,1.825e-05
